,row_id,player_id,school,wave,session,date,event_id,event_description,event_category,event_time,event_time_dbl,stack_id,stack_title,data_headers,data_values,skill_level_know,skill_level_priority,skill_level_people,skill_level_refusal,skill_level_me,minigame_id,minigame_level,skill_id,old_skill_point,new_skill_point,object_id,object_locked,object_first_time_unlocked,pan_scene_start_left,pan_scene_end_left,scan_start_point,scan_end_point,sense_id,object_scan_result,animatic_id,animatic_time_elapsed,animatic_time_left,avatar_age,avatar_gender,avatar_name,avatar_id,name_of_file,event_type,aa_level_id,chunk_id,piece_id,old_choice_id,old_label,choice_id,new_choice_id,new_label,stars_for_this_level_old,stars_for_this_level_new,npc_id,npc_fact_data_type,previous_rank_id,new_rank_id,invitation_id,inviting_npc_id,inviting_npc_rank_id,chosen_response,points_lost_gained,strike,total_points,total_strikes,missed_safe_invitations,accepted_unsafe_invitations,priority_type,card_id,opportunity_card_id,stop_think_id,priority_type_2,resulting_priority_type,priority_protected_true_false,gaining_priority_type,amount_gained,losing_priority_type,amount_lost,goal_1_priority_type,goal1_amount,goal1_achieved_amount,goal_2_priority_type,goal2_amount,goal2_achieved_amount,draws_remaining,starter_statement_id,validity,cred_lost_gained,fact_card_id,chosen_fact_card_id,opponent_its_on_statement_id,players_chosen_response_id,player_won,players_cred_total,item_locked_unlocked_states,proportion_complete,starting_screen_pan_position_x,starting_screen_pan_position_y,starting_screen_pan_position_w,starting_screen_pan_position_h,ending_screen_pan_position_x,ending_screen_pan_position_y,ending_screen_pan_position_w,ending_screen_pan_position_h,real_date_time,json_gamestate_dump,intention_id,answer_validity,influence_id,influence_id1,clip1_validity,influence_id2,clip2_validity,influence_id3,clip3_validity,opponent_attack_id,chosen_opponent_attack_type_id,player_point_loss,strategy_id,strategy_strength,piece_id_2,piece1_id,piece2_id,piece3_id,opponent_point_loss,player_points,opponent_points,old_rating,new_rating,priority_type_that_went_to_zero,epilogue_item_id,item_locked_unlocked_state
605378,605379,6486001,647,Spring 2013,Session 5,2013-04-30,904,Player starts drag on NPC,People Sense,4H 58M 21S,17901,8.0,,"Minigame level id, NPC id","6,[PeopleData_id:1]",,,,,,,6.0,,,,,,,,,,,,,,,,,,,,Session_5_eventLog_6486001.log,People,,,,,,,,,,,[PeopleData_id:1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217178,217179,6427023,3561,3561 Summer 2013 - Group 1,Session 6,2013-07-26,510,Player selects a sentence piece,Refuse Power Minigame,4H 45M 46S,17146,5.0,,"Minigame level id, strategy id, piece id","5,[AvailableRefusalData_logId:2,2A]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_6_eventLog_6427023.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[AvailableRefusalData_logId:2,,2A,,,,,,,,,,,
2064645,2064646,6626005,3205,Spring 2014 Wave 2,Session 7,2014-05-27,909,Player chooses response to invitation,People Sense,7H 1M 39S,25299,8.0,,"Minigame level id, invitation id, inviting NPC id, inviting NPC rank id, chosen response","9,[InvitationData_id:10,PeopleData_id:8,RankTypes_id:3,1]",,,,,,,9.0,,,,,,,,,,,,,,,,,,,,Session_7_eventLog_6626005.log,People,,,,,,,,,,,,,,,[InvitationData_id:10,PeopleData_id:8,RankTypes_id:3,1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126735,126736,6427016,3561,3561 Summer 2013 - Group 1,Session 5,2013-07-17,213,Player touches Object,Challenge Stack,4H 56M 37S,17797,5.0,New Year's Eve,"Stack id, Object id, result (Was player able to activate object?)","5,c_kidSister_afri_a_G9b0,true",,,,,,,,,,,c_kidSister_afri_a_G9b0,,,,,,,,True,,,,,,,,Session_5_eventLog_6427016.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751880,751881,6486012,647,Fall (Wave 1) 2013,Session 1,2013-11-04,210,Player begins to scan Scene using Sense,Challenge Stack,4M 30S,270,12.0,,"startscan_x,startscan_y","965,301",,,,,,,,,,,,,,,,"(965, 301)",,,,,,,,,,,Session_1_eventLog_6486012.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796287,1796288,6607001,7167,Spring 2014~ Wave 1,Session 5,2014-03-05,212,Player switches to a Sense,Challenge Stack,169H 47M 20S,611240,4.0,,Sense id (newly selected sense),2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,Session_5_eventLog_6607001_session5.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361961,361962,6427036,3561,3561 0647 Fall 2013,Session 8 _ 9,2013-11-21,809,Player hits Stop Spin button,Priority Sense,6H 12M 23S,22343,5.0,,"Minigame level id, Opportunity Card ID, Resulting Priority Type, Priority Protected- true/false?","3,[OpportunityCardData_id:0,Safe,false]",,,,,,,3.0,,,,,,,,,,,,,,,,,,,,Session_8___9_eventLog_6427036.log,priority,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Safe,false],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534355,534356,6430003,1827,Summer 2013,Session 1,2013-07-10,411,Player hits continue on the Round recap dialog that reiterates the facts,Knowledge Minigame,49M 39S,2979,4.0,,"Minigame level id, Starter Statement id","0,[StatementsData_logId:5]",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Session_1_eventLog_6430003.log,Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[StatementsData_logId:5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716780,1716781,6606004,9691,Single wave,Session 7,2014-03-27,207,Player panned Scene,Challenge Stack,7H 44M 58S,27898,6.0,When Things Got Serious,"Stack id, starting scene left, ending scene left","6,-400,-445",,,,,,,,,,,,,,-400.0,-445.0,,,,,,,,,,,,Session_7_eventLog_6606004.log,Challenge Stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422616,1422617,6546007,5340,Single wave,Session 9,2013-07-18,403,"Player selects ""False""",Knowledge Minigame,7H 52M 1S,28321,6.0,,"Minigame level id, Starter Statement id, validity","2,[StatementsData_logId:3,false]",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Session_9_eventLog_6546007.log,Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[StatementsData_logId:3,false],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
