,row_id,player_id,school,wave,session,date,event_id,event_description,event_category,event_time,event_time_dbl,stack_id,stack_title,data_headers,data_values,skill_level_know,skill_level_priority,skill_level_people,skill_level_refusal,skill_level_me,minigame_id,minigame_level,skill_id,old_skill_point,new_skill_point,object_id,object_locked,object_first_time_unlocked,pan_scene_start_left,pan_scene_end_left,scan_start_point,scan_end_point,sense_id,object_scan_result,animatic_id,animatic_time_elapsed,animatic_time_left,avatar_age,avatar_gender,avatar_name,avatar_id,name_of_file,event_type,aa_level_id,chunk_id,piece_id,old_choice_id,old_label,choice_id,new_choice_id,new_label,stars_for_this_level_old,stars_for_this_level_new,npc_id,npc_fact_data_type,previous_rank_id,new_rank_id,invitation_id,inviting_npc_id,inviting_npc_rank_id,chosen_response,points_lost_gained,strike,total_points,total_strikes,missed_safe_invitations,accepted_unsafe_invitations,priority_type,card_id,opportunity_card_id,stop_think_id,priority_type_2,resulting_priority_type,priority_protected_true_false,gaining_priority_type,amount_gained,losing_priority_type,amount_lost,goal_1_priority_type,goal1_amount,goal1_achieved_amount,goal_2_priority_type,goal2_amount,goal2_achieved_amount,draws_remaining,starter_statement_id,validity,cred_lost_gained,fact_card_id,chosen_fact_card_id,opponent_its_on_statement_id,players_chosen_response_id,player_won,players_cred_total,item_locked_unlocked_states,proportion_complete,starting_screen_pan_position_x,starting_screen_pan_position_y,starting_screen_pan_position_w,starting_screen_pan_position_h,ending_screen_pan_position_x,ending_screen_pan_position_y,ending_screen_pan_position_w,ending_screen_pan_position_h,real_date_time,json_gamestate_dump,intention_id,answer_validity,influence_id,influence_id1,clip1_validity,influence_id2,clip2_validity,influence_id3,clip3_validity,opponent_attack_id,chosen_opponent_attack_type_id,player_point_loss,strategy_id,strategy_strength,piece_id_2,piece1_id,piece2_id,piece3_id,opponent_point_loss,player_points,opponent_points,old_rating,new_rating,priority_type_that_went_to_zero,epilogue_item_id,item_locked_unlocked_state
2105597,2105598,65670032,1531,Single wave,Session 10,2013-12-13,517,Player hits continue on results panel,Refuse Power Minigame,1H 13M 9S,4389,5.0,,Minigame level id,2,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105598,2105599,65670032,1531,Single wave,Session 10,2013-12-13,1005,Player earns additional skill point,Minigame General,1H 13M 9S,4389,5.0,,"Minigame level id, skill id, old skill point value, new skill point value","2,[3,0,3]",,,,,,,2.0,Refusal,0.0,3.0,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Minigame challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105599,2105600,65670032,1531,Single wave,Session 10,2013-12-13,1001,Player hits done on results panel,Minigame General,1H 13M 10S,4390,5.0,,Minigame level id,2,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Minigame challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105600,2105601,65670032,1531,Single wave,Session 10,2013-12-13,1003,Player enters Level Select menu,Minigame General,1H 13M 10S,4390,5.0,,Minigame id,3,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Minigame challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105601,2105602,65670032,1531,Single wave,Session 10,2013-12-13,1004,Player selects minigame level,Minigame General,1H 13M 11S,4391,5.0,,Minigame level id,5,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Minigame challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105602,2105603,65670032,1531,Single wave,Session 10,2013-12-13,500,Player closes intro panel to start game,Refuse Power Minigame,1H 13M 15S,4395,5.0,,Minigame level id,5,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105603,2105604,65670032,1531,Single wave,Session 10,2013-12-13,501,Player hits continue arrow after first opponent statement,Refuse Power Minigame,1H 13M 16S,4396,5.0,,Minigame level id,5,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105604,2105605,65670032,1531,Single wave,Session 10,2013-12-13,502,Player selects answer for what opponent means,Refuse Power Minigame,1H 13M 18S,4398,5.0,,"Minigame level id, Intention id, answer validity","5,[IntentionData_logId:2,true]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[IntentionData_logId:2,true],,,,,,,,,,,,,,,,,,,,,,,,
2105605,2105606,65670032,1531,Single wave,Session 10,2013-12-13,503,Player hits continue on results for Think phase,Refuse Power Minigame,1H 13M 19S,4399,5.0,,Minigame level id,5,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105606,2105607,65670032,1531,Single wave,Session 10,2013-12-13,504,Player starts an audio clip in Prepare phase,Refuse Power Minigame,1H 13M 21S,4401,5.0,,"Minigame level id, Influence id","5,[InfluenceData_logId:2]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[InfluenceData_logId:2],,,,,,,,,,,,,,,,,,,,,,,
2105607,2105608,65670032,1531,Single wave,Session 10,2013-12-13,504,Player starts an audio clip in Prepare phase,Refuse Power Minigame,1H 13M 22S,4402,5.0,,"Minigame level id, Influence id","5,[InfluenceData_logId:5]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[InfluenceData_logId:5],,,,,,,,,,,,,,,,,,,,,,,
2105608,2105609,65670032,1531,Single wave,Session 10,2013-12-13,504,Player starts an audio clip in Prepare phase,Refuse Power Minigame,1H 13M 24S,4404,5.0,,"Minigame level id, Influence id","5,[InfluenceData_logId:7]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[InfluenceData_logId:7],,,,,,,,,,,,,,,,,,,,,,,
2105609,2105610,65670032,1531,Single wave,Session 10,2013-12-13,504,Player starts an audio clip in Prepare phase,Refuse Power Minigame,1H 13M 25S,4405,5.0,,"Minigame level id, Influence id","5,[InfluenceData_logId:6]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[InfluenceData_logId:6],,,,,,,,,,,,,,,,,,,,,,,
2105610,2105611,65670032,1531,Single wave,Session 10,2013-12-13,505,Player hits continue arrow on Prepare phase,Refuse Power Minigame,1H 13M 26S,4406,5.0,,"Minigame level id, Influence id1, clip1 validity, Influence id2, clip2 validity, Influence id3, clip3 validity","5,[InfluenceData_logId:2,true,InfluenceData_logId:5,true,InfluenceData_logId:6,true]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[InfluenceData_logId:2,True,InfluenceData_logId:5,True,InfluenceData_logId:6,true],,,,,,,,,,,,,,,,,
2105611,2105612,65670032,1531,Single wave,Session 10,2013-12-13,506,Player hits continue on results for Prepare phase,Refuse Power Minigame,1H 13M 27S,4407,5.0,,Minigame level id,5,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105612,2105613,65670032,1531,Single wave,Session 10,2013-12-13,507,Player chooses opponent's attack strategy,Refuse Power Minigame,1H 13M 36S,4416,5.0,,"Minigame level id, opponent attack id, chosen opponent attack type id, validity, player point loss","5,[OpponentAttackData_logId:0,OpponentAttackTypeData_logId:1,true,0]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[OpponentAttackData_logId:0,OpponentAttackTypeData_logId:1,0.0,,,,,,,,,,,,,,
2105613,2105614,65670032,1531,Single wave,Session 10,2013-12-13,508,Player hits continue arrow after selecting opponent's attack,Refuse Power Minigame,1H 13M 38S,4418,5.0,,Minigame level id,5,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105614,2105615,65670032,1531,Single wave,Session 10,2013-12-13,509,Player selects their own attack strategy,Refuse Power Minigame,1H 13M 40S,4420,5.0,,"Minigame level id, strategy id, strategy strength","5,[RefusalData_logId:2,2]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[RefusalData_logId:2,2.0,,,,,,,,,,,,
2105615,2105616,65670032,1531,Single wave,Session 10,2013-12-13,510,Player selects a sentence piece,Refuse Power Minigame,1H 13M 42S,4422,5.0,,"Minigame level id, strategy id, piece id","5,[AvailableRefusalData_logId:2,0A]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[AvailableRefusalData_logId:2,,0A,,,,,,,,,,,
2105616,2105617,65670032,1531,Single wave,Session 10,2013-12-13,510,Player selects a sentence piece,Refuse Power Minigame,1H 13M 42S,4422,5.0,,"Minigame level id, strategy id, piece id","5,[AvailableRefusalData_logId:2,1A]",,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Session_10_eventLog_65670052.log,Refusal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[AvailableRefusalData_logId:2,,1A,,,,,,,,,,,
